RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_INDEX	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_START	CURRENT_FIX_END	CURRENT_FIX_DURATION	CURRENT_FIX_BLINK_AROUND	decision	video	outcome	prompt	answer
4	2	1	828.5	493.1	13089	13456	368	BEFORE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	2	-24.9	584	13525	13713	189	AFTER	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	3	-1401.1	820.5	13785	13952	168	BOTH	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	4	40.2	995.7	14025	14171	147	BEFORE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	5	-68.8	1145	14242	14721	480	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	6	-178.4	1003.2	14784	14919	136	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	7	-207.9	1001.1	14933	15071	139	AFTER	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	8	-222	1088.7	15285	15417	133	BOTH	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	9	-145.5	1221.9	15917	16000	84	BOTH	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	10	-122.3	1134.6	16208	16238	31	BEFORE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	11	1380.6	1109.7	16326	16654	329	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	12	1593.9	1109	16691	16999	309	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	13	1568.9	1226.1	17028	17495	468	AFTER	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	3	1	131.8	-404.3	16498	16804	307	BOTH	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	2	473.1	549	17853	18158	306	BEFORE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	3	707.2	563.4	18197	18365	169	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	4	1011.1	645.6	18403	21021	2619	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	5	1004.1	636.4	21053	21313	261	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	6	1148.3	661.1	21339	21564	226	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	7	684.1	608.1	21631	21724	94	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	8	447.8	634.2	21756	21952	197	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	9	545.5	639.2	21988	22326	339	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	10	520.2	652.7	22358	22531	173	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	4	1	659.5	773	13370	13407	38	BEFORE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	2	760.1	459.9	13452	13803	352	NONE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	3	203.5	563.3	13865	14588	724	NONE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	4	194.6	630.4	14608	14810	203	NONE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	5	677.5	539.2	14856	16721	1866	NONE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	6	646.7	500.5	16728	19386	2658	AFTER	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	5	1	988	456.1	15422	15565	144	BEFORE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	2	944.5	463	15656	15786	131	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	3	98.3	829.9	15872	16051	180	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	4	58.8	751.3	16072	16105	34	AFTER	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	5	742.5	876.7	16648	16683	36	BOTH	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	6	1095.9	1910.2	16971	17012	42	BEFORE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	7	1086.2	1512.7	17128	17151	24	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	8	1113.4	1067.2	17231	17281	51	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	9	1105.4	1028.1	17318	17381	64	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	10	1106.7	716.7	17398	17558	161	AFTER	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	11	877.6	699.7	17785	17895	111	BOTH	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	12	1555.1	1891.5	18225	18422	198	BEFORE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	13	1429.7	1630.2	18465	18662	198	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	14	1423.4	1170.1	18684	18995	312	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	15	1544.6	1124.5	19025	19233	209	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	16	1563	1275.1	19249	19298	50	AFTER	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
