RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_INDEX	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_START	CURRENT_FIX_END	CURRENT_FIX_DURATION	CURRENT_FIX_BLINK_AROUND	decision	video	outcome	prompt	answer
04	2	1	828.50	493.10	13089	13456	368	BEFORE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
04	2	2	-24.90	584.00	13525	13713	189	AFTER	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
04	2	3	-1401.10	820.50	13785	13952	168	BOTH	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
04	2	4	40.20	995.70	14025	14171	147	BEFORE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
04	2	5	-68.80	1145.00	14242	14721	480	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
04	2	6	-178.40	1003.20	14784	14919	136	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
04	2	7	-207.90	1001.10	14933	15071	139	AFTER	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
04	2	8	-222.00	1088.70	15285	15417	133	BOTH	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
04	2	9	-145.50	1221.90	15917	16000	84	BOTH	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
04	2	10	-122.30	1134.60	16208	16238	31	BEFORE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
04	2	11	1380.60	1109.70	16326	16654	329	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
04	2	12	1593.90	1109.00	16691	16999	309	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
04	2	13	1568.90	1226.10	17028	17495	468	AFTER	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
04	3	1	131.80	-404.30	16498	16804	307	BOTH	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
04	3	2	473.10	549.00	17853	18158	306	BEFORE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
04	3	3	707.20	563.40	18197	18365	169	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
04	3	4	1011.10	645.60	18403	21021	2619	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
04	3	5	1004.10	636.40	21053	21313	261	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
04	3	6	1148.30	661.10	21339	21564	226	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
04	3	7	684.10	608.10	21631	21724	94	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
04	3	8	447.80	634.20	21756	21952	197	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
04	3	9	545.50	639.20	21988	22326	339	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
04	3	10	520.20	652.70	22358	22531	173	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
04	4	1	659.50	773.00	13370	13407	38	BEFORE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
04	4	2	760.10	459.90	13452	13803	352	NONE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
04	4	3	203.50	563.30	13865	14588	724	NONE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
04	4	4	194.60	630.40	14608	14810	203	NONE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
04	4	5	677.50	539.20	14856	16721	1866	NONE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
04	4	6	646.70	500.50	16728	19386	2658	AFTER	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
04	5	1	988.00	456.10	15422	15565	144	BEFORE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	2	944.50	463.00	15656	15786	131	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	3	98.30	829.90	15872	16051	180	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	4	58.80	751.30	16072	16105	34	AFTER	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	5	742.50	876.70	16648	16683	36	BOTH	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	6	1095.90	1910.20	16971	17012	42	BEFORE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	7	1086.20	1512.70	17128	17151	24	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	8	1113.40	1067.20	17231	17281	51	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	9	1105.40	1028.10	17318	17381	64	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	10	1106.70	716.70	17398	17558	161	AFTER	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	11	877.60	699.70	17785	17895	111	BOTH	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	12	1555.10	1891.50	18225	18422	198	BEFORE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	13	1429.70	1630.20	18465	18662	198	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	14	1423.40	1170.10	18684	18995	312	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	15	1544.60	1124.50	19025	19233	209	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	16	1563.00	1275.10	19249	19298	50	AFTER	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	17	773.80	483.60	19641	19698	58	BEFORE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	18	786.80	478.50	19718	19785	68	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	19	782.90	301.80	19804	19870	67	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	20	426.80	161.00	19920	20104	185	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	21	-54.00	-168.00	20164	20287	124	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	22	55.20	-108.80	20328	20828	501	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	23	-130.00	-126.50	20978	21080	103	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	5	24	-83.40	-123.20	21102	21438	336	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
04	6	1	478.60	493.50	13314	13694	381	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
04	6	2	956.70	-485.50	13874	13909	36	AFTER	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
04	6	3	898.70	698.10	14130	14324	195	BOTH	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
04	6	4	929.00	516.60	14566	14854	289	BOTH	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
04	6	5	777.90	512.00	15078	15365	288	BOTH	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
04	6	6	768.90	430.90	15650	15815	166	BOTH	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
04	6	7	988.50	634.60	16100	16360	261	BEFORE	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
04	6	8	1248.20	722.50	16388	16623	236	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
04	6	9	1352.80	723.00	16656	16785	130	AFTER	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
