"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response"
"true","false","[]","[]","[]","preload","0","21","0.0-0.0","","",""
"","","","","","html-keyboard-response","1","784394","0.0-1.0","784357","Hi there! Welcome to the experiment. Press any key to begin."," "
"","","","","","html-keyboard-response","2","795119","0.0-2.0","10721","<p>Before we get started, here is information about <strong>consent</strong>.</p>
    <p> <strong>Parent or Guardian</strong>: This is a practice round to see whether participants between 5-7 years old understand the study, answer the questions accurately, and stay attentive.</p>
    <p> This data will not be used other than for informal interpretation to improve the study design. The participant is welcome to stop whenever, and will always remain anonymous.</p>
    <p> The experiment should take no more than <strong>15 minutes</strong>.</p>
    <p> Do you consent to continuing with the experiment? </p>
    <p> <strong> Participant</strong>: Do you want to play? You are  welcome to stop whenever! </p>
    <p>Press any key to begin.</p>"," "
"","","","","","html-keyboard-response","3","818508","0.0-3.0","23385","<p>In this experiment, we are building a new game!</p>
    <p> You will be playing by moving this <strong> yellow ball.</strong> You want the ball to score in the goal at the top of the screen!</p>
    <div style='width: 1000px;'>
    <div style='float: center;'><img src='img/LAMI-kids-start.png' width = ""500""></img>
    <p class='small'><strong>This is your ball!</strong></p></div>
    <p>Press any key to continue.</p>","t"
"","","","","","html-keyboard-response","4","840697","0.0-4.0","22188","<p>In the game you will try today, you can move the ball in two different ways. One way you can move the ball is <strong>this way</strong>, to the left.</p>
    <p>If you press this button for the arrow that points this way, to the left, the ball will go <strong>this way</strong>.</p>
    <div style='width: 700px;'>
    <p class='small'><strong>Move this way!</strong></p></div>
    <div style='float: center;'><img src='img/LAMI-kids-start-left-arrow.png' width= ""400""></img>
    </div>
    <p>Press the correct button to move the ball this way.</p>","arrowleft"
"","","","","","html-keyboard-response","5","848228","0.0-5.0","7529","<p>You can also move the ball <strong>that way</strong>, to the right.</p>
    <p>If you press that button on that side, the ball will go <strong>that way</strong>.</p>
    <div style='width: 700px;'>
    <p class='small'><strong>Move that way!</strong></p></div>
    <div style='float: center;'><img src='img/LAMI-kids-start-right-arrow.png' width= ""400""></img>
    </div>
    <p>Press the correct button to move the ball that way.</p>","arrowright"
"","","","","","html-keyboard-response","6","864506","0.0-6.0","16277","<p>In the game, you want the ball to score in the <span style= ""color:red"">red goal</span> at the top of the screen here.</p>
    <p>When you play, the ball will either be in the <span style= ""color:blue"">blue room</span> or the <span style= ""color:#FF69B4"">pink room</span>.</p>
    <p>This is what the rooms look like:</p>
    <div style='width: 700px;'>
    <div style='border: 10px; float: left;'><img src='img/LAMI-kids-blue.png' width= ""300""></img>
    <p class='small'><strong>This is the Blue Room</strong></p></div>
    <div style='padding-left: 10px; float: right;'><img src='img/LAMI-kids-pink.png' width= ""300""></img>
    <p class='small'><strong>This is the Pink Room</strong></p></div>
    <p>Press any key to continue.</p>","a"
"","","","","","html-keyboard-response","7","880429","0.0-7.0","15923","<p>Both rooms have an <span style= ""color:orange"">orange wall</span> that can block the ball from scoring in the goal.</p>
    <p>If the ball hits the <span style= ""color:orange"">orange wall</span>, the ball won't score  in  the goal, it will miss.</p>
    <div style='width: 700px;'>
    <div style='float: left;'><img src='img/LAMI-kids-blue-wall.png' width= ""300""></img>
    <p class='small'><strong>The <span style= ""color:orange"">orange wall</span> in the Blue Room</strong></p></div>
    <div style='float:right;'><img src='img/LAMI-kids-pink-wall.png' width= ""300""></img>
    <p class='small'><strong>The <span style= ""color:orange"">orange wall</span> in the Pink Room</strong></p></div>
    <p>Press any key to continue.</p>","a"
"","","","","","html-keyboard-response","8","911067","0.0-8.0","30634","
  <p>This is what it looks like to score in the blue room, the goal will turn green. Great Job! </p>
  <div style='float: center;'><video src='video/scorethatway.mp4' width= ""700"" height=""525"" autoplay loop></video>
  <p>Press any key to continue </p>"," "
"","","","","","html-keyboard-response","9","923285","0.0-9.0","12217","<p>This is what it looks like to miss in the blue room, the goal will stay red. Uh Oh, no score this time! </p>
  <div style='float: center;'><video src='video/missthisway.mp4' width= ""700"" height=""525"" autoplay loop></video>
  <p>Press any key to continue </p>"," "
"","","","","","html-keyboard-response","10","931652","0.0-10.0","8366","<p> So if the ball is in the <span style= ""color:blue"">blue room</span>, and you choose <strong> this way</strong>, the ball will miss. If you choose <strong>that way</strong> in the blue room, the ball will score. </p>
  <div style='padding-right: 100px; float: center;'><video src='video/missthisway.mp4' width= ""300"" autoplay loop></video>
  <div style='padding-left: 100px; float: right;'><video src='video/scorethatway.mp4' width= ""300"" autoplay loop></video></div>
  <p>Press any key to continue </p>"," "
"","","","","","html-keyboard-response","11","943990","0.0-11.0","12336","
  <p>This is what it looks like to score in the pink room, the goal will turn green. Great Job! </p>
  <div style='float: center;'><video src='video/scorethisway.mp4' width= ""700"" height=""525"" autoplay loop></video>
  <p>Press any key to continue </p>"," "
"","","","","","html-keyboard-response","12","952811","0.0-12.0","8819","<p>This is what it looks like to miss in the pink room, the goal will stay red. Uh Oh, no score this time! </p>
  <div style='float: center;'><video src='video/missthatway.mp4' width= ""700"" height=""525"" autoplay loop></video>
  <p>Press any key to continue </p>"," "
"","","","","","html-keyboard-response","13","961693","0.0-13.0","8881","<p> So if the ball is in the <span style= ""color:#FF69B4"">pink room</span>, and you choose <strong> this way</strong>, the ball will score. If you choose <strong>that way</strong> in the pink room, the ball will miss. </p>
  <div style='padding-right: 100px; float: center;'><video src='video/scorethisway.mp4' width= ""300"" autoplay loop></video>
  <div style='padding-left: 100px; float: right;'><video src='video/missthatway.mp4' width= ""300"" autoplay loop></video></div>
  <p>Press any key to continue </p>"," "
"","","","","","html-keyboard-response","14","973489","0.0-14.0","11796","
  <p>Let's Practice! We will tell you what room you are in, and ask you to either go <strong>this way or that way</strong>, left or right. Then you can see what happens! </p>
  <p>Press any key to continue </p>"," "
"","","","","","html-keyboard-response","15","980635","0.0-15.0-0.0-0.0","7145","You are in the blue room.
Let's  see  what happens if you go that  way!","arrowright"
"","","","","","video-keyboard-response","16","990660","0.0-15.0-1.0","null","[""video/scorethatway.mp4""]","null"
"","","","","","html-keyboard-response","17","995413","0.0-15.0-0.1-0.1","4753","You are in the blue room.
Let's  see  what happens if you go this  way!","arrowleft"
"","","","","","video-keyboard-response","18","1005435","0.0-15.0-1.1","null","[""video/missthisway.mp4""]","null"
"","","","","","html-keyboard-response","19","1011111","0.0-15.0-0.2-0.2","5676","You are in the pink room.
Let's  see  what happens if you go this  way!","arrowleft"
"","","","","","video-keyboard-response","20","1021111","0.0-15.0-1.2","null","[""video/scorethisway.mp4""]","null"
"","","","","","html-keyboard-response","21","1026178","0.0-15.0-0.3-0.3","5066","You are in the pink room.
Let's  see  what happens if you go that  way!","arrowright"
"","","","","","video-keyboard-response","22","1036195","0.0-15.0-1.3","null","[""video/missthatway.mp4""]","null"
"","","","","","html-keyboard-response","23","1067906","0.0-16.0","31710","
  <p> After you see whether the ball scores or misses, you will be asked a question. To pick your answer, choose the arrow button on the same side as the correct response.</p>
  <p>If you are asked <strong>Remember</strong>, your question will ask you to remember which way the ball moved.</p>
  <p>If you are asked <strong>What if?</strong>, your question will ask you to answer what would have happened if that ball had gone the other way.</p>
  <p>If you are asked <strong>Cause</strong>, your question will ask you to answer what caused the ball to score or miss.</p>
  <p>Press any key to continue </p>"," "
"","","","","","html-keyboard-response","24","1091900","0.0-17.0","23994","
  <p>Nice job! Are you ready to play? Now you get to choose which way the ball will move, but you <strong>won't know which room the ball will be in</strong>! Try to make the ball score! Do you have any questions? </p>
  <p>Press any key to continue </p>"," "
"","","","","","html-keyboard-response","25","1097038","0.0-18.0-0.0-0.0","5138","<p>Do you want the ball to go this way or that way?</p>
      <p style='position: absolute; left: 400px'>This way</p>
      <div style='float: center;'><img src='img/LAMI-kids-start-both-arrows.jpg' width= ""400""></img>
      <p style='position: absolute; left: 1000px; top: 300px'>That way</p>
      </div>","arrowleft"
"","","","","","video-keyboard-response","26","1107061","0.0-18.0-1.0","null","[""video/missthisway.mp4""]","null"
"","","","","","html-keyboard-response","27","1109067","0.0-18.0-2.0","null","<p>What If?</p>","null"
"","","","","","html-keyboard-response","28","1119262","0.0-18.0-3.0","10194","Would the ball have scored if you moved that way?<div style='float: center;'><img src='img/thumbsupdown.jpeg'></img></div>
      ","arrowleft"
"","","","","","html-keyboard-response","29","1127047","0.0-18.0-0.1-0.1","7784","<p>Do you want the ball to go this way or that way?</p>
      <p style='position: absolute; left: 400px'>This way</p>
      <div style='float: center;'><img src='img/LAMI-kids-start-both-arrows.jpg' width= ""400""></img>
      <p style='position: absolute; left: 1000px; top: 300px'>That way</p>
      </div>","arrowright"
"","","","","","video-keyboard-response","30","1137060","0.0-18.0-1.1","null","[""video/scorethatway.mp4""]","null"
"","","","","","html-keyboard-response","31","1139066","0.0-18.0-2.1","null","<p>Cause</p>","null"
"","","","","","html-keyboard-response","32","1152504","0.0-18.0-3.1","13437","What made the ball score?<div style='position: absolute; left: 250px'><img src='img/LAMI-kids-ball.png'></img></div>
      <div style='position: absolute; left: 600px; top: 400 px'><img src='img/LAMI-kids-blue.png' width = ""300px""></img></div>
      <div style='position: absolute; left: 600px; bottom: 100 px;'><img src='img/LAMI-kids-pink.png' width = ""300px""></img></div>","arrowleft"
"","","","","","html-keyboard-response","33","1157105","0.0-18.0-0.2-0.2","4600","<p>Do you want the ball to go this way or that way?</p>
      <p style='position: absolute; left: 400px'>This way</p>
      <div style='float: center;'><img src='img/LAMI-kids-start-both-arrows.jpg' width= ""400""></img>
      <p style='position: absolute; left: 1000px; top: 300px'>That way</p>
      </div>","arrowleft"
"","","","","","video-keyboard-response","34","1167118","0.0-18.0-1.2","null","[""video/scorethisway.mp4""]","null"
